gene,cluster
BSDC1,4
BSG,4
BSN,4
BTAF1,3
BTBD1,2
BTBD10,5
BTBD2,0
BTBD6,0
BTBD8,1
BTBD9,0
BTF3L4,5
BTG2,5
BTG3,5
BTN2A2,5
BTN2A3P,1
BTN3A1,4
BTN3A2,4
BTN3A3,4
BTNL9,1
BUB3,5
BUD13,5
BUD23,0
BUD31,0
BYSL,1
C10orf143,1
C10orf88B,3
C10orf95,1
C11orf68,5
C11orf71,1
C11orf96,4
C12orf43,4
C12orf57,5
C12orf60,5
C12orf75,0
C12orf76,5
C14orf119,5
C14orf132,1
C14orf93,5
C15orf39,4
C15orf40,1
C15orf61,5
C15orf62,1
C16orf46,3
C16orf74,2
C16orf87,5
C16orf95,0
C17orf100,3
C17orf58,4
C17orf67,1
C19orf25,2
C19orf38,5
C19orf44,4
C19orf47,0
C19orf48P,5
C19orf73,4
C19orf81,5
C1D,5
C1GALT1C1L,3
C1QL1,1
C1QL4,1
C1QTNF1,0
C1QTNF6,3
C1R,4
C1orf115,0
C1orf122,0
C1orf174,5
C1orf198,0
C1orf216,0
C1orf220,1
C1orf35,5
C1orf50,3
C1orf52,5
C1orf54,1
C1orf56,4
C1orf74,1
C20orf204,5
C20orf96,3
C21orf58,4
C21orf91,5
C22orf23,2
C22orf46P,4
C2CD2L,3
C2CD4C,3
C2orf15,4
C2orf42,5
C2orf49,5
C2orf49-DT,3
C2orf68,0
C2orf69,1
C2orf74,5
C2orf74-DT,5
C2orf76,1
C2orf81,4
C2orf92,3
C3orf18,1
C3orf20,1
C3orf33,3
C3orf38,5
C3orf52,5
C3orf62,5
C3orf70,1
C3orf80,0
C4orf33,4
C5,5
C5orf24,5
C5orf34,5
C5orf63,3
C6orf120,1
C6orf141,5
C6orf163,3
C6orf89,2
C7orf25,5
C8orf33,2
C8orf34,4
C8orf44,5
C8orf48,3
C8orf58,4
C8orf76,1
C8orf82,4
C8orf88,0
C9orf40,5
C9orf72,5
C9orf85,5
CA13,1
CA2,1
CA5B,4
CA8,4
CAAP1,5
CAB39L,4
CABIN1,0
CABLES1,0
CABLES2,0
CABP1,2
CACFD1,0
CACNA1B,1
CACNA1C,2
CACNA1D,0
CACNA1G,1
CACNA1H,4
CACNA2D2,0
CACNA2D3,1
CACNB1,4
CACNB2,4
CACNB3,4
CACNB4,5
CACTIN,0
CACUL1,4
CACYBP,4
CADM1,4
CADM2,4
CADPS2,4
CALCOCO1,0
CALCRL,3
CALHM2,2
CALM2,5
CALM3,0
CALML4,4
CALR,2
CALU,5
CAMK1,4
CAMK2B,4
CAMK2N1,5
CAMK2N2,4
CAMK4,1
CAMKK1,4
CAMKMT,1
CAMLG,5
CAMSAP1,0
CAMSAP2,5
CAMSAP3,3
CAMTA1,0
CAND2,0
CANX,3
CAP1,0
CAP2,4
CAPG,2
CAPN1,0
CAPN10,4
CAPN10-DT,5
CAPN15,0
CAPN2,2
CAPN3,3
CAPN5,0
CAPN7,5
CAPNS1,0
CAPRIN2,5
CAPS,3
CAPS2,4
CAPZB,0
CARD14,3
CARD19,1
CARD6,0
CARD8-AS1,3
CARD9,1
CARF,1
CARM1,0
CARMIL2,0
CARMIL3,3
CARS1,0
CARS2,0
CASC2,5
CASD1,5
CASK,0
CASKIN1,4
CASKIN2,1
CASP2,5
CASP7,5
CASP8,4
CASP8AP2,5
CASP9,4
CAST,4
CASTOR1,0
CASTOR3P,1
CASZ1,4
CAT,4
CATSPER2,3
CATSPERE,1
CAV1,1
CAV2,1
CAVIN1,0
CAVIN4,1
CBARP,4
CBFA2T2,5
CBFB,0
CBL,0
CBLB,5
CBLL1,5
CBLN1,3
CBR3,4
CBR4,5
CBS,2
CBX4,5
CBX7,4
CBX8,5
CBY1,3
CC2D2A,0
CCBE1,4
CCDC102A,0
CCDC106,0
CCDC107,5
CCDC110,5
CCDC112,5
CCDC12,4
CCDC120,4
CCDC121,5
CCDC122,4
CCDC125,3
CCDC126,3
CCDC127,5
CCDC134,4
CCDC137,4
CCDC138,5
CCDC14,3
CCDC146,3
CCDC15,3
CCDC150,3
CCDC157,1
CCDC163,3
CCDC171,4
CCDC174,5
CCDC18,5
CCDC18-AS1,3
CCDC181,5
CCDC183-AS1,1
CCDC184,1
CCDC186,4
CCDC191,3
CCDC24,1
CCDC28A-AS1,3
CCDC28B,1
CCDC3,0
CCDC34,4
CCDC39,3
CCDC40,1
CCDC50,4
CCDC51,5
CCDC57,4
CCDC59,5
CCDC61,4
CCDC66,5
CCDC68,1
CCDC69,0
CCDC7,5
CCDC71,5
CCDC71L,5
CCDC74A,0
CCDC74B,4
CCDC78,5
CCDC80,4
CCDC82,5
CCDC85B,0
CCDC85C,0
CCDC87,4
CCDC88A,4
CCDC88B,1
CCDC88C,0
CCDC89,5
CCDC9,5
CCDC92,0
CCDC93,4
CCDC9B,3
CCHCR1,4
CCM2,0
CCN1,3
CCN2,3
CCNA2,5
CCNB1,5
CCNB1IP1,4
CCNB3,1
CCNC,5
CCND1,4
CCND2,0
CCNE2,5
CCNG1,2
CCNG2,4
CCNH,5
CCNI,0
CCNJL,0
CCNL1,5
CCNL2,5
CCNO,4
CCNQ,4
CCNT1,5
CCNT2,5
CCNT2-AS1,1
CCNY,0
CCNYL1,4
CCP110,4
CCPG1,5
CCS,1
CCSER1,5
CCSER2,4
CCT3,2
CCT6P1,1
CCT6P3,5
CCT8,0
CCZ1P-OR7E38P,4
CD101,4
CD109,2
CD151,0
CD164,5
CD19,3
CD207,4
CD24,4
CD27-AS1,3
CD276,0
CD2AP,5
CD2BP2,4
CD320,0
CD37,0
CD40,4
CD55,1
CD58,1
CD59,2
CD63,4
CD68,4
CD70,3
CD81,2
CD82,0
CD99L2,0
CDAN1,4
CDC123,5
CDC14A,5
CDC14B,0
CDC14C,0
CDC16,0
CDC20,5
CDC23,5
CDC25A,3
CDC25B,0
CDC25C,5
CDC26,5
CDC34,5
CDC37,4
CDC37L1,3
CDC40,5
CDC42BPB,0
CDC42BPG,1
CDC42EP1,4
CDC42EP2,4
CDC42EP3,5
CDC42SE2,5
CDC5L,4
CDC6,3
CDC7,5
CDC73,5
CDCA2,5
CDCA3,5
CDCA5,5
CDH1,0
CDH10,1
CDH12,4
CDH2,4
CDH23,2
CDH24,4
CDH26,3
CDH7,1
CDHR1,4
CDHR3,4
CDIP1,4
CDIPT,0
CDK1,5
CDK10,3
CDK11A,4
CDK11B,2
CDK14,0
CDK17,5
CDK18,4
CDK2,5
CDK20,3
CDK2AP1,4
CDK2AP2,3
CDK4,4
CDK5,0
CDK5R1,5
CDK5RAP1,1
CDK5RAP3,4
CDK6,0
CDK8,5
CDK9,5
CDKL1,1
CDKL2,1
CDKL3,3
CDKL5,1
CDKN1A,1
CDKN1B,5
CDKN2A,4
CDKN2AIP,5
CDKN2B,5
CDKN2B-AS1,4
CDKN2C,0
CDKN2D,4
CDKN3,5
CDO1,4
CDPF1,0
CDR1,1
CDR2,5
CDR2L,0
CDS2,0
CDT1,4
CDV3,4
CDYL,5
CDYL2,4
CEACAM19,3
CEBPA,1
CEBPA-DT,4
CEBPB,5
CEBPD,1
CEBPG,5
CEBPZ,5
CEL,5
