"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARHGEF38",4.59564273507885,-0.527421033462778,1.5413392031016,1.12734840126384,0.889909157379943,NA
"GSTCD-AS1",1.67873426441905,-1.40365059363579,2.6879832721939,1.49647893857623,0.827264995616233,NA
"NPNT",113.540579103921,0.188665336789139,0.283169502107883,5.45729671256248,0.243508711901991,NA
"LOC101929577",1.98009000919382,-0.125022287477858,2.34630148779746,4.01804662298254,0.403569014349333,NA
"DKK2",12.2793466895753,-0.938679578036998,0.989547276597284,4.95284012440325,0.292170712508323,NA
"LEF1-AS1",8.63160863946557,-0.377460755553047,0.932106365788497,1.72815713836206,0.785596715400791,NA
"RPL34-DT",4.85775969166608,1.03476287289534,1.26617487339276,1.83007175364624,0.766976191065314,NA
"ETNPPL",46.0914100578378,0.467426685241545,0.400213416797509,4.88290512051626,0.29952454183116,NA
"SEC24B-AS1",22.8934291664814,0.223055198089698,0.676934964639424,2.0081775373632,0.734254712587799,NA
"CFI",5.27676481582958,1.854516718342,1.42541935009573,6.13952960311954,0.188967621750144,NA
"RRH",28.9954890082609,0.50959290063325,0.679875322918653,3.98813194190069,0.407614399467584,NA
"LRIT3",24.8106619582527,-0.318862000915952,0.613854957678803,3.75941519268602,0.439543391981476,NA
"EGF",21.1646830010429,0.221515226035907,0.554847825562469,3.88937429803462,0.421184386376804,NA
"ENPEP",112.421131655845,-0.0263511382280808,0.310783340311947,1.06247873523174,0.900178757507865,NA
"NEUROG2",49.6146105427937,-0.638417422329793,0.455260606544081,3.33047486057959,0.504118315946397,NA
"MIR302A",1.69895810129054,-5.03565294104293,3.01939347560595,12.9711843413556,0.0114174540022795,NA
"ARSJ",216.258368294219,0.413858361685598,0.211015183267267,5.8319656655182,0.21205353937508,NA
"NDST4",22.9721539655101,0.0182346091464332,0.632562625165515,1.69400984181704,0.791805454638828,NA
"TRAM1L1",108.012549389396,0.0788092537600468,0.3175880297843,1.61573660377334,0.805961032477287,NA
"NDST3",6.77779759548286,-0.109053298280091,1.16402654105332,5.13291041048828,0.273929900627655,NA
"SNORA24",15.4975351487843,-0.0652777770577704,0.897790222693647,1.1024383160389,0.893885147250683,NA
"CEP170P1",5.60998837636163,-0.347065552906392,1.18433480901975,3.49241516695841,0.479032571880352,NA
"METTL14-DT",3.21972103800369,0.323906737663731,1.69495264614491,0.620916675360675,0.960711247940158,NA
"SYNPO2",14.1039665009099,-1.26765986273442,0.839269910638521,10.5403675273171,0.0322454574138881,NA
"SEPTIN7P14",200.91452230262,-0.217594375807493,0.188852459095598,4.82913893662572,0.305282392400904,NA
"TNIP3",2.48156941133075,-0.00532109350865229,2.4605047441241,1.31380333947131,0.859029276594688,NA
"SMIM43",28.5596185975902,-0.059580388215414,0.49251198975107,0.945075637214444,0.918006783340852,NA
"TRPC3",104.474202871762,0.240795019780655,0.303341018702045,3.59372413834762,0.463771191561252,NA
"CETN4P",17.5753826747634,0.692393020368677,0.800057092972397,8.11367826138539,0.0875016594798456,NA
"NUDT6",51.1833596678917,-0.547619433733496,0.456875049365277,5.17351466440098,0.269952627802717,NA
"LINC02615",12.9110308300941,0.198057663308944,0.908111800912836,1.2952818612217,0.862175524123222,NA
"LINC02466",2.61812280339892,1.38723800357077,1.84905087728408,3.97227595025463,0.409770894350537,NA
"PCDH10-DT",33.2158361729159,1.14705192062544,0.543386700230504,4.72715530475375,0.316455557030631,NA
"SLC7A11-AS1",6.05163898241749,-1.22562318859502,1.23424352421751,6.08384894690809,0.192973280997868,NA
"LOC105377622",1.77302616616219,-0.519975988654246,4.57018792809752,0.828151026236867,0.934634679489055,NA
"SCOC-AS1",31.9681393730231,0.0642089155511621,0.529010563207876,1.86025469123257,0.761441933235964,NA
"TNRC18P1",2.29027842910711,-0.936076775933801,2.42974188883631,0.95171013432487,0.917027756121856,NA
"IL15",7.41757243117663,-1.04238162126938,1.04936691263573,4.55095085223567,0.336548705375127,NA
"INPP4B",44.226484174304,0.820077899634779,0.397388648883316,8.62421853130567,0.0712101236837672,NA
"USP38-DT",3.37585740055357,-0.812607404720709,1.77598405636185,2.54883052320676,0.63591379320489,NA
"HHIP-AS1",31.2881853677221,0.941937223675406,0.530504551843132,7.00407756592656,0.13567290154788,NA
"HHIP",224.430908092955,-0.239560280592169,0.163588655414631,8.12558242876435,0.0870847706204167,NA
