"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GOLPH3L",2966.01792316611,0.515108108537866,0.0698712464238476,115.572220662916,4.71070467115032e-24,7.94969402810416e-22
"MIA3",5226.33476155469,0.477492967584204,0.0587646335286277,115.315958439854,5.34299643558308e-24,8.87361455642949e-22
"DYRK1A",2723.21601143976,0.55337404520219,0.0630234170022219,114.421716408832,8.29170760676159e-24,1.35556463577416e-21
"COPG1",6134.62186237918,0.220970672896775,0.0511094813816309,113.104884581531,1.58361691901116e-23,2.54913597286366e-21
"COG3",2028.3293811217,0.614630962821848,0.0885979309280541,110.233620974399,6.48882892525117e-23,1.02867601583186e-20
"NUCB2",3653.67056208265,0.734964146317269,0.0968921419599584,109.730902795337,8.30578190478096e-23,1.29706561298094e-20
"SEC61G",2857.48380736262,0.743259275742692,0.0894642546765831,108.762419623687,1.33629732255241e-22,2.05612924792145e-20
"SLC25A3",16118.6270904848,-0.19748989752952,0.0356348784035213,104.774308141473,9.462041202153e-22,1.43480198692937e-19
"STX5",2651.93840796856,0.338991311796555,0.0665101398634465,104.689709090329,9.86304581069268e-22,1.47424354738968e-19
"HSP90B1",50165.4003659326,0.374147217009708,0.0534374320596001,103.081040871983,2.17135458737172e-21,3.19984268277046e-19
"PRKCSH",11122.9621555482,-0.423909039941371,0.0569479888022782,102.037943799787,3.62162764056429e-21,5.26292916711447e-19
"EDEM3",4765.4828356621,0.524202389943279,0.0618749713934986,100.798104467944,6.65158021108463e-21,9.53362791076418e-19
"RAB1A",7830.40549575475,0.35832068268191,0.0455972048915396,99.159985995205,1.48477755300546e-20,2.09935507258056e-18
"LMAN1",11263.5167805114,0.415240857438362,0.0549626113577234,97.6694393459993,3.08235560097468e-20,4.30009155373307e-18
"FKBP14",2678.58663726001,0.58849389436356,0.088068208094934,97.1601991818166,3.95583539627568e-20,5.44604023042532e-18
"DDX6",10205.7846767727,0.592038168124834,0.0696071427794206,96.0864476158758,6.69378898806889e-20,9.09572911456686e-18
"MGAT4B",3005.63642611132,-0.450505295148706,0.0735176939428222,94.4545909140446,1.48846660580468e-19,1.99664437135055e-17
"ARCN1",18070.1637099115,0.306959960220248,0.0418116868007188,91.4248589240041,6.55807811429427e-19,8.68571788732417e-17
"SNHG16",7695.7188577284,1.28126390420258,0.1654135929863,91.0200734069726,7.99445515534184e-19,1.04557480362927e-16
"PTPRF",12603.6937297535,-0.529535572058438,0.0641908956392487,90.1055777863558,1.25048453457549e-18,1.61528638089671e-16
"BET1",1438.70600123224,0.546942983260078,0.0760166128855525,90.0282838764021,1.29866721374293e-18,1.65706768992588e-16
"MAN1A1",5291.99115477142,0.383366701941528,0.0534218081948354,89.9927735848228,1.32142107158342e-18,1.66578658698522e-16
"TSPYL2",2321.07168143396,0.46045207752847,0.0840861040762478,89.3735493158736,1.78883733837217e-18,2.22816727040333e-16
"GRPEL2",3105.63051645494,0.658674278079435,0.0797966557980309,89.1089959808113,2.03591032034242e-18,2.50608584491091e-16
"MGAT2",4575.38747289304,0.21685249631142,0.051591313052499,88.7179337340918,2.46495287510469e-18,2.99893045723492e-16
"DNAJC10",8090.85579757758,0.424508991566951,0.0595013774364564,87.0720352463239,5.51136485359651e-18,6.58847891724018e-16
"TMED7",3467.0549532504,0.562168642694539,0.0772970234213568,87.0609529829579,5.5412992900424e-18,6.58847891724018e-16
"EIF2AK3",1148.2380263782,0.432824733180583,0.0898151001105012,86.5643310799093,7.06355274202984e-18,8.30403958874811e-16
"GOLM1",8559.87540081217,-0.151552047251013,0.0437822235684443,85.7141148681137,1.07017779435007e-17,1.24414114025387e-15
"TMEM263",5033.78282508033,0.548266788237456,0.0739773264492422,85.2235952141043,1.35998908627392e-17,1.56368855051473e-15
"HOXA11",2967.88714250373,0.239986111821808,0.0660130491587748,84.6358684788079,1.81226795807428e-17,2.06106083101426e-15
"RCN2",5489.96238244467,-0.0817556134270056,0.0497985754129929,84.1322281150298,2.31768535188964e-17,2.6075206276152e-15
"WFS1",2581.97970646367,0.191507187692589,0.0865262670612406,82.1674556507928,6.04892099990952e-17,6.73296387468652e-15
"AMIGO3",996.444137857524,0.219036003234142,0.10459525892588,80.905093904598,1.12003939822578e-16,1.23357602354067e-14
"CLCC1",3960.9928269565,0.480692463795712,0.0681479005027591,80.2881131954619,1.51343874197442e-16,1.64185675996876e-14
"NID1",10089.9162375029,-0.303267177819683,0.056393726116439,80.2763798807279,1.52212659578486e-16,1.64185675996876e-14
"CALU",15013.0602138216,0.416794294135439,0.0547346691682903,80.127141870714,1.63707633620456e-16,1.74782956180697e-14
"FNDC3B",1941.63372555474,0.549154007016303,0.0859899241519097,77.9191004167857,4.80510539767971e-16,5.0783654319114e-14
"POMK",687.830004031464,1.17477856873651,0.159273018850992,76.8351329329646,8.149907583724e-16,8.52724830485042e-14
"LYSMD3",3531.4649821185,0.45447367187333,0.0823614215095577,76.5928113928583,9.17138992697581e-16,9.50101512930177e-14
"IRGQ",2345.63352226847,0.729383798579915,0.0977978728924997,75.7737925520663,1.3668891385454e-15,1.40213343692162e-13
"GOLGB1",5605.0048491139,0.379700892836963,0.0715562941194857,74.2940708023912,2.81001280258158e-15,2.85448193722438e-13
"MORF4L2",28458.1311253476,0.268388461252228,0.0435449081928128,73.7768302359877,3.61469207641841e-15,3.63658876880441e-13
"SRP19",2561.56930846588,0.320131081156746,0.0642804719643678,73.3926396972652,4.35802520106918e-15,4.34266835036065e-13
"VMA21",6540.63492447546,0.63588786580408,0.0841167032003647,71.7966491415666,9.47463255325338e-15,9.35217739666888e-13
"UBE2J1",4839.97486481263,0.384840913170426,0.0551741185994561,71.4945558706709,1.09743706428724e-14,1.07312934613434e-12
"RPL36AL",5810.33278809923,0.453876638476904,0.0644004145704537,70.8951283861653,1.46888225244901e-14,1.42266503629696e-12
"SEC63",8692.54466831831,0.453975000053683,0.0643565971362216,70.8767280287288,1.48208438264712e-14,1.42266503629696e-12
"SHCBP1",2998.23797609334,0.25336919208776,0.0521990364710928,70.7998485753492,1.5385396831864e-14,1.46343097319812e-12
"SLC3A2",9941.53352079596,0.137008580382261,0.0539056828785954,69.9855875639836,2.28580044147926e-14,2.15462432605382e-12
"SND1",19244.9779227265,0.234996656117305,0.046854635635546,69.9219588348428,2.35760513388816e-14,2.20246629605998e-12
"CLEC2D",3434.70818499831,0.623450762113254,0.0884484264949632,69.5933410142904,2.76592655818953e-14,2.56105217507407e-12
"YIF1A",2283.1462439162,-0.477965155444601,0.106252322206513,69.3956896001009,3.04480487632186e-14,2.79454328253997e-12
"RDH11",3360.36853151334,-0.046475189394964,0.0859482337949886,69.0687503412151,3.56911145958755e-14,3.24727071318822e-12
"SYVN1",2873.14368463368,0.12530785749748,0.0781249248160343,68.2237995755249,5.38077067718667e-14,4.85336237891415e-12
"MEGF8",6346.02896803337,-0.534429343685913,0.080513792762753,67.0659215007591,9.44178266116697e-14,8.4435360669906e-12
"FNDC3A",4977.70458037874,0.373081967608049,0.062580579371254,66.7711423968992,1.08944897942367e-13,9.6600887048389e-12
"SLC30A5",5221.29378358251,0.337826335162393,0.055831870429302,65.3054316977684,2.21883907875275e-13,1.95090027571345e-11
"UQCRB",5728.60295564287,0.365099024184208,0.0607422213185894,64.9569262965625,2.62753304854604e-13,2.29098985724477e-11
"HM13",7406.24381500275,0.133702913112962,0.0478351215113102,64.743652850966,2.91389830169079e-13,2.51967916781741e-11
"SRRM1",9372.00064711659,0.579589020790547,0.0812401573786169,64.6870147473338,2.99505293903286e-13,2.56862613943449e-11
"PDE4DIP",4751.83533864009,0.251254564607765,0.0514788206811271,64.4844026721769,3.30430137318295e-13,2.81080530631002e-11
"ARF1",42970.3689546682,0.119204249566665,0.0484510483276504,64.060983094462,4.05741382942862e-13,3.42360652397675e-11
"NOTCH3",1668.95562144211,-0.370592507242051,0.100534983105535,64.0015055343857,4.17612512937865e-13,3.4955837782951e-11
"RPL37",15133.061981219,0.387909917897027,0.0588440775841519,63.5373169749184,5.23004690308139e-13,4.34301434499529e-11
"EPS15",3552.92361538721,0.326354143195404,0.0500841035896491,63.2200658494087,6.09941755399897e-13,5.02505558011742e-11
"GMPPA",2843.37657522261,0.28769230979482,0.0846589483243039,62.7246752123506,7.75442718428461e-13,6.3386384085289e-11
"TBC1D9B",8640.69290469504,-0.240952160795841,0.0544284517424787,62.4947383043556,8.6683071673622e-13,7.03073627070626e-11
"ANKRD36BP1",959.965076502754,0.93505227766418,0.135366003625365,62.390162864855,9.1188022828972e-13,7.33923294507334e-11
"SLC10A7",975.740385509259,0.668953766117231,0.127353080002467,61.6692300505941,1.29299380838686e-12,1.03271711581311e-10
"RWDD2A",502.323249103085,0.434768628611545,0.12235481168556,61.4657171912987,1.42691563052082e-12,1.1310468365257e-10
