"gene_id","gene_name","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000263293","EFCAB13-DT","lncRNA",61.2691369222175,-0.0374858764655147,0.17033132522114,-0.260356402893329,0.794588869002101,0.874845799598341
"ENSG00000280009","","TEC",24.2701872227889,-0.0419133842713296,0.229248113963434,-0.26033078632553,0.794608627004134,0.874845799598341
"ENSG00000304570","","lncRNA",9.30478966214113,-0.0380839482399842,0.273666510366845,-0.260193050095802,0.79471486491178,0.874901711235305
"ENSG00000115816","CEBPZ","protein_coding",665.185973854065,0.0166725933988477,0.0719933496309856,0.260047654460972,0.794827014758088,0.874964123069939
"ENSG00000119699","TGFB3","protein_coding",14.1274138924493,-0.0406716718332967,0.255868415693184,-0.259800720849287,0.795017494886289,0.87505169644349
"ENSG00000167553","TUBA1C","protein_coding",4291.8834088808,-0.0118361204044247,0.0472946273105498,-0.259849099745138,0.794980175316893,0.87505169644349
"ENSG00000298832","","lncRNA",8.03306286614972,-0.035624960057337,0.283251467689672,-0.25941523480162,0.795314876286286,0.875317949296738
"ENSG00000106554","CHCHD3","protein_coding",564.609540619765,0.020728136521561,0.0824414764461776,0.25925765091717,0.795436452199436,0.875329630072575
"ENSG00000213261","EEF1B2P6","processed_pseudogene",595.173240857863,0.0195440713455774,0.0794119635745187,0.259268548885195,0.795428044260912,0.875329630072575
"ENSG00000188243","COMMD6","protein_coding",2526.56591354388,-0.0163490139405668,0.0647852346762624,-0.259171752181319,0.795502725136759,0.875341504706559
"ENSG00000112304","ACOT13","protein_coding",490.934520541786,-0.0206112847643311,0.0828513767945946,-0.258852109744719,0.795749349908453,0.875551816270707
"ENSG00000108523","RNF167","protein_coding",1192.44989408804,-0.01784262445559,0.071049627193931,-0.25873696464924,0.795838196782667,0.875588509807541
"ENSG00000214087","ARL16","protein_coding",297.595465688951,-0.0241327554966862,0.0988567120774829,-0.257985311472713,0.796418243358045,0.876165582976074
"ENSG00000104833","TUBB4A","protein_coding",253.19620696203,0.0263687837414811,0.10568686517628,0.257748225192555,0.796601224872942,0.87630578195652
"ENSG00000260136","","lncRNA",27.077737559633,-0.0413582501025301,0.224639536251144,-0.257547814636046,0.79675590904518,0.876414834902448
"ENSG00000139675","HNRNPA1L2","protein_coding",24.7162280310232,0.0418735985320188,0.223618681061404,0.257421485249313,0.796853418773494,0.876460986335012
"ENSG00000067829","IDH3G","protein_coding",583.169194614981,0.0215049792403487,0.0852714665231305,0.257207416673035,0.797018658894664,0.876464843110256
"ENSG00000238103","RPL9P7","processed_pseudogene",430.385737363054,0.0220748376672866,0.0888204681755821,0.257256182982299,0.796981015246281,0.876464843110256
"ENSG00000264577","","lncRNA",9.67127951504541,-0.0371528620103885,0.27486168526835,-0.257201034792428,0.797023585225508,0.876464843110256
"ENSG00000178397","FAM220A","protein_coding",54.9104102592667,0.0382697904547481,0.177310980323976,0.256940277799342,0.797224876884522,0.876625096362357
"ENSG00000274349","ZNF658","protein_coding",12.7497393809672,-0.0400316373035684,0.258432974546602,-0.256746563010225,0.797374423969468,0.87672843312888
"ENSG00000135454","B4GALNT1","protein_coding",47.7868549868777,-0.039035245346232,0.185238449900276,-0.256657503917198,0.797443179748802,0.876742930097342
"ENSG00000092098","RNF31","protein_coding",40.9294985538094,-0.0395229966782356,0.193829939557517,-0.256531209384256,0.797540684885134,0.876789031108129
"ENSG00000005020","SKAP2","protein_coding",348.489980336098,0.0234424264551874,0.0904057469742058,0.256345383971776,0.797684156317291,0.876885655951638
"ENSG00000105894","PTN","protein_coding",14.1957455097561,0.0404929713357145,0.255367930925916,0.256243676780555,0.797762684942801,0.876910881372715
"ENSG00000159164","SV2A","protein_coding",272.9157868934,0.024333019753181,0.0997249853273353,0.255737508926886,0.798153530069634,0.877279381629414
"ENSG00000235890","TSPEAR-AS1","lncRNA",14.0734079389857,0.0394375292528864,0.263705794730473,0.255662553496573,0.798211412336652,0.877281884530502
"ENSG00000164604","GPR85","protein_coding",14.7089569729696,0.0402663658919017,0.256741218120425,0.255451750177835,0.798374205340181,0.877399682199222
"ENSG00000139083","ETV6","protein_coding",43.3722162178535,0.0392703688406829,0.188965600700489,0.25488315182302,0.79881334949346,0.877760009399521
"ENSG00000139496","NUP58","protein_coding",260.392394786679,-0.0259442852995387,0.104316039353702,-0.254907099446543,0.798794852800132,0.877760009399521
"ENSG00000112796","ENPP5","protein_coding",16.7421475404477,0.0406399453307053,0.246605169216488,0.254653827472119,0.798990481018255,0.877771242881764
"ENSG00000176978","DPP7","protein_coding",15.0212768569504,0.0399081635018042,0.258541609589916,0.25471944095347,0.798939799708964,0.877771242881764
"ENSG00000255529","POLR2M","protein_coding",142.811971880336,0.0297272893730886,0.126277442959873,0.254769848137159,0.798900864656802,0.877771242881764
"ENSG00000088826","SMOX","protein_coding",27.0578066977007,0.041327356568265,0.217329871050665,0.254195957521961,0.799344173492372,0.877985385554768
"ENSG00000119041","GTF3C3","protein_coding",247.856006081439,0.024558311978836,0.101426877555667,0.254185369036163,0.799352353305995,0.877985385554768
"ENSG00000305512","","lncRNA",191.620246087662,-0.0266912489062099,0.11247189781675,-0.254258218348653,0.79929607622404,0.877985385554768
"ENSG00000259642","ST20-AS1","lncRNA",28.7248201806611,-0.0406697488473779,0.217609442979254,-0.25403632715443,0.799467493427766,0.878050723550982
"ENSG00000145982","FARS2","protein_coding",100.70635715545,0.0341963020649371,0.152391984542368,0.25370548569052,0.799723095728602,0.878270310546439
"ENSG00000173588","CEP83","protein_coding",77.1471728722072,0.0353729303113114,0.159088868737145,0.253563745174907,0.799832608526543,0.878329440016933
"ENSG00000135414","GDF11","protein_coding",209.243914343803,0.0262698993514388,0.110874381370012,0.253465600062761,0.799908440568619,0.878351577592644
"ENSG00000164626","KCNK5","protein_coding",35.4003212085694,-0.0400370697526787,0.207983629897698,-0.253286511059499,0.800046818951861,0.878442387264494
"ENSG00000234369","TATDN1P1","processed_pseudogene",62.9921422842583,-0.0361508390371928,0.167793087643066,-0.25304902155926,0.800230331876531,0.87858273806653
"ENSG00000250565","ATP6V1E2","protein_coding",57.0220272314748,-0.0372987919564757,0.178002407699616,-0.252786065714807,0.800433536024553,0.878744687068358
"ENSG00000004455","AK2","protein_coding",1629.33727778183,0.0161580134895482,0.0640003448447132,0.252444135676687,0.800697789188366,0.878912476172326
"ENSG00000112282","MED23","protein_coding",182.688802783659,0.0279342985226556,0.118328174194844,0.252496396705142,0.800657398916157,0.878912476172326
"ENSG00000130023","ERMARD","protein_coding",62.2979732735526,0.0370007795910018,0.173276643857552,0.252186308639842,0.80089706027047,0.879070051473995
"ENSG00000111231","GPN3","protein_coding",356.823407378881,0.0219224180135235,0.0875270453426591,0.252063252309777,0.800992173437339,0.879113288370149
